orginal_tree_names,names_to_use,status,accepted_names,SporeType,Motility,phylum,class,order,family,genus,Life_style,trophicMode,guild,simpleFunct,SporeVolume,spore_length,spore_width,SporeArea,Q_ratio,Number_of_guilds,information,X,X.1,X.2,solving
Absidia glauca,Absidia glauca,ACCEPTED,Absidia glauca,Mitospores,,"""Zygomycetous fungi""",Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,327.9650924,7.875,6.875,52.64622064,1.1,NA,Compendium of Soil Fungi,,,,Absidia glauca_7.875_6.875
Absidia repens,Absidia repens,ACCEPTED,Absidia repens,Mitospores,non_motile,Zygomycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,NA,4.15,2.5,NA,NA,NA,"Absidia species, including A. repens Tiegh (1878), are members of the family Cunninghamellaceae of the order Mucorales and a member of the “zygomycete” fungi. Absidia species are characterized by the formation of relatively small, apophysate sporangia (Fig 1) with deliquescent walls, a single septum is formed in the subtending sporangiophore, and the production of stolons and rhizoids; the sporangiophore is never formed opposite the rhizoids (as in Rhizopus). Zygospores are formed on opposed, more or less equal suspensors adorned with several appendages (Fig 2). One species, Absidia coerulea Bainier has been used in industry for biotransformation and chitosan production, and (Nwe 2008). Some former members of this genus are pathogenic (e.g. A. corymbifera) causing mucoromycoses in humans and cows but these taxa are now in the genus Lichtheimia Vuill. Sequencing of A. repens will advance the 1000 Fungal Genome Project by providing a representative genome for Cunninghamellaceae, an important family of “zygomycetes” and additional insight into this early branching group of fungi. ; References: ; Hesseltine, C.W., and J. J. Ellis. 1961. Notes on Mucorales, especially Absidia. Mycologia 53: 406-426. Hesseltine, C.W., and J. J. Ellis. 1964. The genus Absidia: Gongronella and cylindrical-spored species of Absidia. Mycologia 56: 568-601. Hesseltine, C.W., and J. J. Ellis. 1966. Species of Absidia with ovoid sporangiospores. I. Mycologia 58:761-785. Nwe N, Stevens WF, Montet D, Tokura S, Tamura H. Decomposition of myceliar matrix and extraction of chitosan from Gongronella butleri USDB 0201 and Absidia coerulea ATCC 14076. Int J Biol Macromol. 2008;43(1):2-7. Also see http://zygomycetes.org/index.php?id=108",Species of Absidia with Ovoid Sporangiospores. I,,,Absidia repens_4.15_2.5
Acaromyces ingoldii,Acaromyces ingoldii,ACCEPTED,Acaromyces ingoldii,Mitospores,,Basidiomycota,Exobasidiomycetes,NA,NA,Acaromyces,Obligate association,Pathotroph,Insect_Pathogen,Insect,NA,10.5,2.25,NA,NA,NA,"Acaromyces ingoldii Boekhout, Scorzetti, Gerson & Sztejnb. was first isolated and described from a citrus rust mite in Israel (Boekhout et al., 2003).  Biocontrol experiments showed a high mortality rate of several mite species after A. ingoldii inoculation (Boekhout et al., 2003).  Later studies showed that toxic chemicals secreted by the fungus were responsible for mite mortality (Paz et al., 2007; Gerson et al., 2008). As there is no report of Acaromyces species causing damage to plants, they may serve as promising biological agents for integrated pest management.   The strain of A. ingoldii used for genome sequencing was isolated from a leaf phylloplane in Scotland. The fungus forms discrete white, velvety to pruinose colonies on potato dextrose agar (PDA). Microscopically, it is composed of hyaline septate hyphae with blastoconidia formed in acropetal chains. Acaromyces is a monotypic yeast-like genus that is morphologically similar to the anamorphic “smut” (subphylum Ustilaginomycotina) fungus genus Pseudozyma, and in its mite-associated habit with another anamorphic smut genus, Meira. However, while phylogenetic analyses of several nuclear rDNA loci support the placement of Acaromyces within the Exobasidiales (Exobasidiomycetes, Ustilaginomycotina), it is not a close relative of either Pseudozyma or Meira species, but rather belongs to Cryptobasidiaceae (Boekhout et al., 2003, Rush and Aime, 2013). Whether A. ingoldii possess a sexual state remains unknown (Boekhout et al. 2003). The genome sequence of A. ingoldii will provide the first whole genome reference sequence for a member of Cryptobasidiaceae. Researchers will use these data in phylogenetic and phylogenomic reconstructions and in comparative genomics studies that seek to elucidate the molecular bases governing production of sexual and anamorphic states, invertebrate toxins, and the evolution of phytopathogenicity in Ustilaginomycotina. ;  ; References: Boekhout T, Theelen B, Houbraken J, Robert V, Scorozetti G, Gafni A, Gerson U, Sztejnberg A. 2003. Novel anamorphic mite-associated fungi belonging to the Ustilaginomycetes: Meira geulakonigii gen. nov., sp. nov., Meira argovae sp. nov. and Acaromyces ingoldii gen. nov., sp. nov. International Journal of Systematic and Evolutionary Microbiology 53:1655–166. Gerson U, Gafni A, Paz Z, Sztejnberg A. 2008. A tale of three acaropathogenic fungi in Israel: Hirsutella, Meira and Acaromyces. Experimental and Applied Acarology 46:183–194. Paz Z, Gerson U, Sztejnberg A. 2007. Assaying three new fungi against citrus mites in the laboratory, and a field trial. Biocontrol 52:855–862. Rush TA, Aime MC. 2013. The genus Meira—phylogenetic placement and description of a new species. Antonie van Leeuwenhoek 103:1097-1106.","Novel anamorphic mite-associated fungi belonging to the Ustilaginomycetes: Meira geulakonigii gen. nov., sp. nov., Meira argovae sp. nov. and Acaromyces ingoldii gen. nov., sp. nov.",,,Acaromyces ingoldii_10.5_2.25
Acaulopage tetraceros,Acaulopage tetraceros,ACCEPTED,Acaulopage tetraceros,Mitospores,non_motile,Zygomycota,Zoopagomycetes,Zoopagales,Zoopagaceae,Acaulopage,Obligate association,Patotroph,Protist_Parasite,Protist,NA,20,8,NA,NA,NA,"Charles Drechsler (1935) Some Non-Catenulate Conidial Phycomycetes Preying on Terricolous Amoebae, Mycologia, 27:2, 176-205, DOI: 10.1080/00275514.1935.12017070",,,,Acaulopage tetraceros_20_8
Aciculoconidium aculeatum,Aciculoconidium aculeatum,ACCEPTED,Aciculoconidium aculeatum,NA,,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Aciculoconidium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Aciculoconidium aculeatum_NA_NA
Aciculosporium take,Aciculosporium take,SYNONYM,Albomyces take,NA,,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Albomyces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Aciculosporium take_NA_NA
Aciculosporium take,Albomyces take,SYNONYM,NA,NA,,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Albomyces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Aciculosporium take_NA_NA
Acidomyces richmondensis,Acidomyces richmondensis,ACCEPTED,Acidomyces richmondensis,NA,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acidomyces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Note: there are two assemblies available for this organism. This portal contains the assembly of metagenomic sequencing of a streamer community. There is also an assembly of DNA obtained from a pure culture. ; Acidomyces richmondensis is an acidophilic filamentous fungus belonging to the Dothideomycetes.  A. richmondensis can be found growing at and above pH 0.7 in subterranean acid mine drainage in the Richmond Mine at Iron Mountain, California.  Surveys of phylogenetic marker genes and fluorescent in situ hybridization microscopy have confirmed that a variety of Eukaryotes, including protists and filamentous fungi, co-occur with a mix of acidophilic Bacteria, Archaea, and Viruses that form both streamer and floating biofilm communities (Baker et al. 2004; Baker et al. 2009).  These acid mine drainage biofilms serve as excellent model systems for detailed study of microbial communities via a variety of culture-independent molecular methods (Denef et al. 2010).  Streamer biofilms occur in high-flow portions of acid mine drainage, and are dominated by filamentous fungal communities of reduced complexity.  The genomic sequencing of an isolate of A. richmondensis, as well as the de novo assembly of a near-complete fungal genome from metagenomic sequencing of a streamer community, serve as starting points for understanding fungal metabolism at acidic pH, the role these fungi play in the larger microbial community, and the population metagenomics of filamentous fungi in a well-characterized natural model system. ; Fungi from extreme environments may also express glycosyl hydrolases and other enzymes that are secreted extracellularly and that may have unique properties relevant to industrial applications.  Acid mine drainage biofilms exist as polysaccharide-rich matrices that contain significant amounts of cellulose (Jiao et al. 2010).  Genomic characterization of microbial communities containing A. richmondensis have revealed a variety of novel putative fungal glycosyl hydrolases, and transcriptomic and proteomic studies have confirmed the in situ expression of some of these enzymes.  Secreted A. richmondensis enzymes have adapted to the extremely acidic (pH<1), metal-rich (˜200 mM Fe), and thermophilic (40-50 °C) environment of acid mine drainage.  These glycosyl hydrolases may prove useful as components of acid-stable enzyme cocktails for deconstruction of biomass feedstocks for bioenergy production.  More generally, comparative genomics of A. richmondensis will help reveal the adaptations that allow for enzyme stability and activity under such extreme conditions. ;   ;    ; Baker, B., M. Lutz, S. Dawson, P. Bond and J. Banfield (2004). ""Metabolically active eukaryotic communities in extremely acidic mine drainage."" Applied and Environmental Microbiology 70(10): 6264-6271. ; Baker, B., G. Tyson, L. Goosherst and J. Banfield (2009). ""Insights into the Diversity of Eukaryotes in Acid Mine Drainage Biofilm Communities."" Applied and Environmental Microbiology 75(7): 2192. ; Denef, V. J., R. S. Mueller and J. F. Banfield (2010). ""AMD biofilms: using model communities to study microbial evolution and ecological complexity in nature."" ISME J 4(5): 599-610. ; Jiao, Y., G. D. Cody, A. K. Harding, P. Wilmes, M. Schrenk, K. E. Wheeler, J. F. Banfield and M. P. Thelen (2010). ""Characterization of extracellular polymeric substances from acidophilic microbial biofilms."" Appl Environ Microbiol 76(9): 2916-22.",,,,Acidomyces richmondensis_NA_NA
Acidomyces richmondensis,Acidomyces richmondensis,ACCEPTED,Acidomyces richmondensis,NA,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acidomyces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"      ; Note: there are two assemblies available for this organism. This portal contains the assembly of DNA obtained from a pure culture. There is also an assembly of metagenomic sequencing of a streamer community. ; Acidomyces richmondensis is an acidophilic filamentous fungus belonging to the Dothideomycetes.  A. richmondensis can be found growing at and above pH 0.7 in subterranean acid mine drainage in the Richmond Mine at Iron Mountain, California.  Surveys of phylogenetic marker genes and fluorescent in situ hybridization microscopy have confirmed that a variety of Eukaryotes, including protists and filamentous fungi, co-occur with a mix of acidophilic Bacteria, Archaea, and Viruses that form both streamer and floating biofilm communities (Baker et al. 2004; Baker et al. 2009).  These acid mine drainage biofilms serve as excellent model systems for detailed study of microbial communities via a variety of culture-independent molecular methods (Denef et al. 2010).  Streamer biofilms occur in high-flow portions of acid mine drainage, and are dominated by filamentous fungal communities of reduced complexity.  The genomic sequencing of an isolate of A. richmondensis, as well as the de novo assembly of a near-complete fungal genome from metagenomic sequencing of a streamer community, serve as starting points for understanding fungal metabolism at acidic pH, the role these fungi play in the larger microbial community, and the population metagenomics of filamentous fungi in a well-characterized natural model system. ; Fungi from extreme environments may also express glycosyl hydrolases and other enzymes that are secreted extracellularly and that may have unique properties relevant to industrial applications.  Acid mine drainage biofilms exist as polysaccharide-rich matrices that contain significant amounts of cellulose (Jiao et al. 2010).  Genomic characterization of microbial communities containing A. richmondensis have revealed a variety of novel putative fungal glycosyl hydrolases, and transcriptomic and proteomic studies have confirmed the in situ expression of some of these enzymes.  Secreted A. richmondensis enzymes have adapted to the extremely acidic (pH<1), metal-rich (˜200 mM Fe), and thermophilic (40-50 °C) environment of acid mine drainage.  These glycosyl hydrolases may prove useful as components of acid-stable enzyme cocktails for deconstruction of biomass feedstocks for bioenergy production.  More generally, comparative genomics of A. richmondensis will help reveal the adaptations that allow for enzyme stability and activity under such extreme conditions. ;   ;    ; Baker, B., M. Lutz, S. Dawson, P. Bond and J. Banfield (2004). ""Metabolically active eukaryotic communities in extremely acidic mine drainage."" Applied and Environmental Microbiology 70(10): 6264-6271. ; Baker, B., G. Tyson, L. Goosherst and J. Banfield (2009). ""Insights into the Diversity of Eukaryotes in Acid Mine Drainage Biofilm Communities."" Applied and Environmental Microbiology 75(7): 2192. ; Denef, V. J., R. S. Mueller and J. F. Banfield (2010). ""AMD biofilms: using model communities to study microbial evolution and ecological complexity in nature."" ISME J 4(5): 599-610. ; Jiao, Y., G. D. Cody, A. K. Harding, P. Wilmes, M. Schrenk, K. E. Wheeler, J. F. Banfield and M. P. Thelen (2010). ""Characterization of extracellular polymeric substances from acidophilic microbial biofilms."" Appl Environ Microbiol 76(9): 2916-22.",,,,Acidomyces richmondensis_NA_NA
Acremonium chrysogenum,Acremonium chrysogenum,ACCEPTED,Acremonium chrysogenum,NA,,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Acremonium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The genome sequence and gene models of Acremonium chrysogenum ATCC 11550 were not determined by the Joint Genome Institute (JGI), but were downloaded from NCBI on May 25, 2017. In order to allow comparative analyses with other fungal genomes sequenced by the JGI, a copy of this genome is incorporated into Mycocosm. JGI tools were used to automatically annotate predicted proteins. Please note that this copy of the genome is not maintained by NCBI and is therefore not automatically updated. ; From NCBI BioProjects: https://www.ncbi.nlm.nih.gov/bioproject/248608 ; The genome sequence of the Acremonium chrysogenum wildtype strain ATCC 11550 was based on an Illumina genome sequencing approach and subsequent de novo assembly. This first complete genome sequence of the main cephalosporin C producer provides new opportunities for scientific research on fungal metabolism and secondary metabolite production.",,,,Acremonium chrysogenum_NA_NA
